"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Sep-2024","EQ","967.00","977.50","949.20","967.00","971.30","970.85","968.78","1,179.00","608.30","1,67,64,981","16,24,15,31,315.75","3,45,069"
"19-Sep-2024","EQ","970.40","978.95","956.35","962.05","969.95","967.00","966.21","1,179.00","608.30","1,34,66,770","13,01,17,04,761.55","3,18,723"
"18-Sep-2024","EQ","978.20","983.70","957.15","974.95","959.20","962.05","968.76","1,179.00","608.30","1,20,44,431","11,66,81,31,471.45","2,41,634"
"17-Sep-2024","EQ","995.00","995.00","960.00","988.40","975.00","974.95","969.17","1,179.00","608.30","4,45,16,613","43,14,40,98,335.60","5,18,729"
"16-Sep-2024","EQ","997.00","999.90","984.50","992.10","988.45","988.40","990.38","1,179.00","608.30","58,36,274","5,78,01,10,599.55","1,89,546"
"13-Sep-2024","EQ","994.90","1,006.00","988.00","986.15","991.85","992.10","994.82","1,179.00","608.30","1,32,03,676","13,13,53,30,656.10","3,30,078"
"12-Sep-2024","EQ","976.30","988.00","958.00","976.30","984.00","986.15","973.48","1,179.00","608.30","2,56,75,836","24,99,48,36,924.25","6,12,687"
"11-Sep-2024","EQ","1,000.00","1,011.55","971.25","1,035.80","976.40","976.30","983.79","1,179.00","608.30","3,61,40,411","35,55,45,73,915.35","10,60,328"
"10-Sep-2024","EQ","1,049.00","1,049.00","1,032.20","1,038.70","1,035.00","1,035.80","1,038.72","1,179.00","608.30","69,19,238","7,18,71,65,122.00","2,54,751"
"09-Sep-2024","EQ","1,049.35","1,049.95","1,026.25","1,049.35","1,040.80","1,038.70","1,035.04","1,179.00","608.30","72,06,054","7,45,85,38,437.00","2,50,411"
"06-Sep-2024","EQ","1,068.80","1,072.95","1,040.50","1,069.15","1,050.65","1,049.35","1,051.98","1,179.00","605.60","87,17,377","9,17,04,90,006.70","3,07,427"
"05-Sep-2024","EQ","1,081.00","1,085.85","1,066.95","1,080.45","1,068.70","1,069.15","1,074.87","1,179.00","605.60","79,00,593","8,49,20,90,556.35","2,24,556"
"04-Sep-2024","EQ","1,079.00","1,085.00","1,072.10","1,085.10","1,081.00","1,080.45","1,078.18","1,179.00","605.60","46,65,908","5,03,06,80,535.70","1,40,011"
"03-Sep-2024","EQ","1,097.60","1,100.00","1,082.20","1,092.65","1,086.55","1,085.10","1,089.20","1,179.00","605.60","50,88,731","5,54,26,59,967.15","1,64,019"
"02-Sep-2024","EQ","1,105.00","1,105.00","1,087.35","1,111.35","1,093.00","1,092.65","1,094.25","1,179.00","605.60","81,16,675","8,88,17,10,477.65","2,06,392"
"30-Aug-2024","EQ","1,113.95","1,115.00","1,097.45","1,121.65","1,109.00","1,111.35","1,109.49","1,179.00","599.05","1,76,47,545","19,57,97,98,333.80","2,76,947"
"29-Aug-2024","EQ","1,079.05","1,142.00","1,066.00","1,074.55","1,112.90","1,121.65","1,109.08","1,179.00","599.05","4,06,58,159","45,09,30,83,295.55","4,10,027"
"28-Aug-2024","EQ","1,082.95","1,088.70","1,070.10","1,077.25","1,073.80","1,074.55","1,078.20","1,179.00","599.05","81,45,376","8,78,23,38,142.85","1,45,258"
"27-Aug-2024","EQ","1,093.05","1,096.65","1,075.00","1,092.40","1,079.90","1,077.25","1,083.48","1,179.00","599.05","88,13,305","9,54,90,07,082.90","1,88,735"
"26-Aug-2024","EQ","1,089.00","1,103.35","1,082.85","1,085.15","1,094.40","1,092.40","1,095.15","1,179.00","599.05","94,15,039","10,31,08,60,261.90","2,06,672"
"23-Aug-2024","EQ","1,073.00","1,092.60","1,071.00","1,068.45","1,085.35","1,085.15","1,084.19","1,179.00","593.30","1,01,79,655","11,03,66,65,762.20","2,12,611"
"22-Aug-2024","EQ","1,090.00","1,094.75","1,064.95","1,085.20","1,072.00","1,068.45","1,073.05","1,179.00","593.30","93,77,476","10,06,24,58,859.25","2,13,793"
"21-Aug-2024","EQ","1,089.00","1,095.30","1,083.30","1,086.90","1,086.85","1,085.20","1,087.29","1,179.00","593.30","48,69,876","5,29,49,53,041.10","1,40,012"
"20-Aug-2024","EQ","1,097.00","1,098.05","1,082.05","1,087.70","1,087.00","1,086.90","1,086.98","1,179.00","593.30","56,25,723","6,11,50,56,870.40","1,52,463"
